state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
CA,Monterey,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Napa,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Nevada,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Orange,3.03,0.44,0.2,0.23,0.2476122539053381
CA,Placer,1.74,0.32,0.2,0.25,0.2372395602247881
CA,Plumas,1.23,0.37,0.23,0.27,0.2613183721396287
CA,Riverside,2.35,0.4,0.2,0.23,0.2400209938424115
CA,Sacramento,1.57,0.38,0.2,0.25,0.2403405749005953
CA,San Benito,1.19,0.45,0.2,0.33,0.27140907926807073
CA,San Bernardino,1.19,0.44,0.25,0.23,0.2629345011901528
CA,San Diego,2.11,0.45,0.2,0.28,0.25986772585038576
CA,San Francisco,1.12,0.39,0.2,0.28,0.2486897233715904
CA,San Joaquin,1.19,0.45,0.2,0.33,0.27140907926807073
CA,San Luis Obispo,1.19,0.45,0.2,0.33,0.27140907926807073
CA,San Mateo,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Santa Barbara,2.11,0.45,0.2,0.28,0.25986772585038576
CA,Santa Clara,1.07,0.34,0.22,0.25,0.24525624894774734
CA,Santa Cruz,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Shasta,1.19,0.39,0.16,0.2,0.19795432650148748
CA,Sierra,1.23,0.37,0.23,0.27,0.2613183721396287
CA,Siskiyou,1.07,0.32,0.08,0.19,0.14351606462234123
CA,Solano,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Sonoma,1.09,0.35,0.22,0.26,0.24969907394468974
CA,Stanislaus,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Sutter,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Tehama,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Trinity,1.02,0.29,0.11,0.21,0.16508487175739628
CA,Tulare,2.11,0.45,0.2,0.28,0.25986772585038576
CA,Tuolumne,1.19,0.44,0.15,0.23,0.2066664591075954
CA,Ventura,3.03,0.44,0.2,0.23,0.2476122539053381
CA,Yolo,1.19,0.45,0.2,0.33,0.27140907926807073
CA,Yuba,1.19,0.45,0.2,0.33,0.27140907926807073
CO,Adams,2.04,0.29,0.19,0.15,0.19566479599855555
CO,Alamosa,2.05,0.31,0.21,0.17,0.21559516679335738
CO,Arapahoe,2.04,0.29,0.19,0.15,0.19566479599855555
CO,Archuleta,2.02,0.29,0.19,0.15,0.1955255375881592
CO,Baca,2.03,0.31,0.21,0.17,0.21545590838296103
CO,Bent,2.01,0.31,0.21,0.19,0.22249554609093145
CO,Boulder,2.01,0.33,0.22,0.15,0.21519279511717904
CO,Broomfield,2.01,0.29,0.21,0.15,0.2067095167994725
