entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
Otter Tail Power Co,ND,45688,"597,302","52,797.40",8.84,14232
Roughrider Electric Cooperative,ND,10833,"163,914","15,287.50",9.33,55959
"Sheridan Electric Coop, Inc",ND,175,"3,089",282,9.13,16759
Slope Electric Coop Inc,ND,3136,"46,164","4,663.10",10.1,17261
"Traverse Electric Coop, Inc",ND,36,603,69,11.44,19060
Verendrye Electric Coop Inc,ND,13896,"209,885","21,221.10",10.11,19790
Auburn Board of Public Works,NE,1857,"23,303","2,215.00",9.51,993
Burt County Public Power Dist,NE,3369,"58,593","7,806.00",13.32,2599
Butler Public Power District - (NE),NE,4620,"63,722","7,222.00",11.33,2643
Cedar-Knox Public Power Dist,NE,5485,"99,274","8,509.00",8.57,3205
"Cherry-Todd Electric Coop, Inc",NE,839,"9,260","1,212.80",13.1,3435
Chimney Rock Public Power Dist,NE,1975,"22,682","3,206.00",14.13,3495
City of Alliance- (NE),NE,4150,"37,878","4,873.60",12.87,367
City of Beatrice - (NE),NE,5761,"65,812","6,660.30",10.12,1427
City of Broken Bow - (NE),NE,2172,"21,463","2,434.30",11.34,2277
City of Cambridge - (NE),NE,486,"5,686",648,11.4,2888
City of Central City,NE,1383,"16,203","1,752.00",10.81,3235
City of Crete,NE,2480,"24,842","2,717.00",10.94,4527
City of David City,NE,1186,"14,448","1,670.00",11.56,4836
City of Fairbury,NE,2677,"30,398","3,536.00",11.63,6132
City of Falls City - (NE),NE,2145,"23,642","2,177.00",9.21,6175
City of Fremont - (NE),NE,12474,"139,182","13,710.00",9.85,6779
City of Gering - (NE),NE,3389,"31,302","4,997.00",15.96,7149
City of Gothenburg - (NE),NE,1496,"19,527","1,727.00",8.84,7411
City of Grand Island - (NE),NE,21879,"212,887","21,102.00",9.91,40606
City of Hastings - (NE),NE,10995,"107,947","11,027.30",10.22,8245
City of Hebron - (NE),NE,735,"8,834",801,9.07,8375
City of Holdrege,NE,2604,"27,568","2,612.50",9.48,8717
City of Imperial,NE,1036,"10,807","1,244.00",11.51,9217
City of Kimball - (NE),NE,1462,"9,350","1,018.90",10.9,10260
City of Lexington - (NE),NE,3494,"49,895","5,068.80",10.16,10967
City of Madison - (NE),NE,815,"9,039",954,10.55,11481
City of Minden - (NE),NE,1330,"14,246","2,073.00",14.55,12626
City of Nebraska City,NE,4785,"52,631","6,030.30",11.46,13334
City of Neligh - (NE),NE,842,"9,102",954,10.48,13233
City of North Platte,NE,11354,"117,804","12,045.00",10.22,13725
City of Ord - (NE),NE,1129,"15,649","1,436.00",9.18,14172
City of Pierce - (NE),NE,985,"12,138","1,121.00",9.24,15039
City of Schuyler - (NE),NE,2137,"28,141","2,713.00",9.64,16778
City of Seward - (NE),NE,2836,"28,485","3,337.00",11.71,16953
City of Sidney - (NE),NE,4068,"26,006","3,277.00",12.6,17149
City of South Sioux City,NE,4775,"47,408","6,389.30",13.48,17577
City of St Paul - (NE),NE,954,"11,489","1,188.00",10.34,17899
City of Superior - (NE),NE,1018,"9,421","1,174.80",12.47,18330
City of Syracuse - (NE),NE,1006,"8,853",995.4,11.24,18408
City of Tecumseh,NE,793,"8,001",972.1,12.15,18525
City of Valentine - (NE),NE,1659,"23,086","2,128.20",9.22,19677
City of Wahoo - (NE),NE,1887,"22,188","1,930.00",8.7,19968
City of Wakefield - (NE),NE,566,"4,969",510,10.26,19980
City of Wayne,NE,2058,"18,586","2,207.00",11.87,20219
City of West Point - (NE),NE,1492,"14,165","2,137.00",15.09,20397
Cornhusker Public Power Dist,NE,7141,"129,212","14,341.00",11.1,4373
Cozad Board of Public Works,NE,1716,"20,005","2,109.30",10.54,4459
Cuming County Public Pwr Dist,NE,2786,"49,313","4,910.90",9.96,4632
Custer Public Power District,NE,4625,"73,951","8,925.00",12.07,4671
Dawson Power District,NE,15702,"236,498","25,538.00",10.8,4911
Elkhorn Rural Public Pwr Dist,NE,5961,"105,493","10,324.00",9.79,5780
"High West Energy, Inc",NE,1757,"17,418","2,535.00",14.55,27058
Highline Electric Assn,NE,758,"7,840","1,050.70",13.4,8570
Howard Greeley Rural P P D,NE,3250,"52,345","5,660.00",10.81,8924
KBR Rural Public Power District,NE,3339,"36,131","4,799.00",13.28,10065
"LaCreek Electric Assn, Inc",NE,172,"2,261",269.3,11.91,10558
Lincoln Electric System,NE,121614,"1,208,376","118,365.10",9.8,11018
Loup River Public Power Dist,NE,15160,"228,825","22,794.00",9.96,11251
Loup Valleys Rural P P D,NE,2575,"36,852","4,767.10",12.94,11250
McCook Public Power District,NE,3751,"38,644","5,374.70",13.91,10550
Midwest Electric Member Corp,NE,3207,"33,271","4,071.10",12.24,12539
Nebraska Public Power District,NE,70909,"791,402","85,039.00",10.75,13337
Niobrara Valley El Member Corp,NE,4854,"57,529","6,451.10",11.21,13610
Norris Public Power District,NE,16185,"303,866","30,033.00",9.88,13664
North Central Public Pwr Dist,NE,3450,"41,018","4,806.60",11.72,13698
Northeast Power,NE,6738,"115,314","11,936.00",10.35,13739
Northwest Rural Pub Pwr Dist,NE,2087,"24,025","3,407.00",14.18,13805
Omaha Public Power District,NE,328576,"3,563,185","409,335.00",11.49,14127
Panhandle Rural El Member Assn,NE,1688,"29,752","4,224.80",14.2,14426
Perennial Public Power Dist,NE,3551,"62,562","6,124.00",9.79,21111
Polk County Rural Pub Pwr Dist,NE,2866,"40,648","4,760.40",11.71,15188
Roosevelt Public Power Dist,NE,2098,"29,688","3,793.00",12.78,16164
South Central Public Pwr Dist,NE,3766,"60,754","5,774.90",9.51,17548
Southern Public Power District,NE,15044,"222,838","23,640.20",10.61,17642
Southwest Public Power Dist,NE,2223,"31,196","3,180.00",10.19,17692
Stanton County Public Pwr Dist,NE,1793,"28,224","3,208.00",11.37,17979
Twin Valleys Public Power Dist,NE,4106,"36,675","4,472.00",12.19,20456
Wheat Belt Public Power Dist,NE,3239,"33,425","4,560.30",13.64,20509
Wyrulec Company,NE,230,"2,496",373,14.94,21079
Granite State Electric Co,NH,31920,"247,996","40,725.60",16.42,26510
New Hampshire Elec Coop Inc,NH,69875,"454,621","92,144.00",20.27,13441
Public Service Co of NH,NH,331614,"2,312,312","478,721.90",20.7,15472
Town of Wolfeboro,NH,4634,"34,090","4,941.70",14.5,20913
Unitil Energy Systems,NH,57909,"417,303","68,762.00",16.48,24590
Atlantic City Electric Co,NJ,415072,"3,241,101","571,316.50",17.63,963
Borough of Butler - (NJ),NJ,10216,"97,201","10,734.50",11.04,2650
Borough of Madison - (NJ),NJ,5720,"47,787","9,270.00",19.4,11476
City of Vineland - (NJ),NJ,21949,"204,571","30,045.00",14.69,19856
Jersey Central Power & Lt Co,NJ,791309,"7,175,787","966,176.80",13.46,9726
Public Service Elec & Gas Co,NJ,1709514,"11,441,909","1,849,308.00",16.16,15477
Rockland Electric Co,NJ,58977,"634,121","103,302.50",16.29,16213
Sussex Rural Electric Coop Inc,NJ,11610,"126,024","15,888.00",12.61,40299
"Central New Mexico El Coop, Inc",NM,16065,"109,199","18,222.00",16.69,3273
"Central Valley Elec Coop, Inc",NM,5748,"74,307","6,517.80",8.77,3287
City of Farmington - (NM),NM,31953,"259,886","26,691.60",10.27,6204
City of Gallup - (NM),NM,8527,"47,842","5,677.60",11.87,6930
"Columbus Electric Coop, Inc",NM,3511,"22,764","3,737.90",16.42,4071
Continental Divide El Coop Inc,NM,20906,"140,025","18,411.00",13.15,4265
El Paso Electric Co,NM,85891,"677,033","83,316.00",12.31,5701
"Farmers Electric Coop, Inc - (NM)",NM,9819,"85,287","10,383.30",12.17,6198
"Jemez Mountains Elec Coop, Inc",NM,27278,"168,713","23,706.00",14.05,9699
"Kit Carson Electric Coop, Inc",NM,24776,"133,104","23,483.00",17.64,10378
"Lea County Electric Coop, Inc",NM,7003,"80,004","7,866.00",9.83,10817
Los Alamos County,NM,7875,"52,119","6,927.60",13.29,11204
Mora-San Miguel Elec Coop,NM,10720,"54,868","9,375.00",17.09,12901
Navajo Tribal Utility Authority,NM,9490,"57,504","6,705.00",11.66,13314
"Navopache Electric Coop, Inc",NM,1363,"6,498",855.8,13.17,13318
Otero County Electric Coop Inc,NM,15740,"93,728","17,400.00",18.56,14224
Public Service Co of NM,NM,464386,"3,136,065","419,123.00",13.36,15473
"Rio Grande Electric Coop, Inc",NM,237,"1,602",274.4,17.13,16057
Roosevelt County Elec Coop Inc,NM,3766,"44,065","4,644.00",10.54,22690
"Sierra Electric Coop, Inc",NM,3595,"21,572","4,053.00",18.79,23326
"Socorro Electric Coop, Inc",NM,10218,"61,716","10,026.00",16.25,17492
Southwestern Electric Coop Inc - (NM),NM,1444,"8,886","1,971.00",22.18,17715
Southwestern Public Service Co,NM,95078,"1,044,271","110,099.60",10.54,17718
"Springer Electric Coop, Inc",NM,2420,"13,324","2,392.00",17.95,17826
"Tri-County Electric Coop, Inc",NM,4,21,3.4,16.19,19160
Aha Macav Power Service,NV,198,"2,283",241,10.56,58123
City of Boulder City - (NV),NV,6960,"98,270","9,930.80",10.11,2008
"Harney Electric Coop, Inc",NV,595,"11,534",970.7,8.42,11589
"Mt Wheeler Power, Inc",NV,5054,"75,850","5,284.80",6.97,13073
Nevada Power Co,NV,910294,"9,501,525","1,184,130.00",12.46,13407
Overton Power District No 5,NV,12752,"174,038","18,794.00",10.8,14245
Plumas-Sierra Rural Elec Coop,NV,356,"4,149",743,17.91,15308
Raft River Rural Elec Coop Inc,NV,1460,"15,905","1,485.00",9.34,22814
Sierra Pacific Power Co,NV,294966,"2,492,062","262,461.00",10.53,17166
Surprise Valley Electrification,NV,5,53,4.6,8.68,18260
"Valley Electric Assn, Inc",NV,19296,"274,303","33,917.00",12.36,19840
Wells Rural Electric Co,NV,4319,"55,062","5,580.00",10.13,20332
Central Hudson Gas & Elec Corp,NY,222189,"1,698,369","289,358.50",17.04,3249
City of Plattsburgh - (NY),NY,8701,"153,047","7,027.00",4.59,15145
City of Salamanca - (NY),NY,3067,"40,715","1,965.00",4.83,16549
Consolidated Edison Co-NY Inc,NY,2211235,"9,924,143","2,515,021.00",25.34,4226
Fishers Island Utility Co Inc,NY,653,"4,118","1,652.00",40.12,6369
Jamestown Board of Public Util,NY,16271,"154,704","12,034.00",7.78,9645
"Lake Placid Village, Inc - (NY)",NY,4011,"73,795","3,848.70",5.22,10610
Long Island Power Authority,NY,1008452,"9,086,750","1,796,813.50",19.77,11171
New York State Elec & Gas Corp,NY,622558,"5,160,517","615,694.80",11.93,13511
Niagara Mohawk Power Corp.,NY,1243100,"9,134,205","1,151,528.40",12.61,13573
North Shore Towers Apts Inc,NY,1840,"6,630","1,899.00",28.64,13726
Orange & Rockland Utils Inc,NY,132675,"932,635","207,444.60",22.24,14154
Pennsylvania Electric Co,NY,3066,"27,856","2,996.90",10.76,14711
Rochester Gas & Electric Corp,NY,279183,"2,132,418","288,160.50",13.51,16183
"Steuben Rural Elec Coop, Inc",NY,6081,"64,866","8,014.00",12.35,18102
Town of Massena - (NY),NY,8209,"110,967","7,171.10",6.46,11811
Village of Arcade - (NY),NY,3619,"69,274","3,600.00",5.2,122
Village of Fairport - (NY),NY,15773,"237,741","12,336.20",5.19,5930
Village of Freeport - (NY),NY,12928,"116,318","14,533.00",12.49,6775
Village of Rockville Centre - (NY),NY,9649,"90,132","10,834.00",12.02,16217
Village of Rouses Point - (NY),NY,1124,"24,687",817.2,3.31,16325
Village of Solvay - (NY),NY,4655,"60,624","3,117.00",5.14,17512
"Adams Rural Electric Coop, Inc",OH,7136,"87,563","12,805.00",14.62,118
"Buckeye Rural Elec Coop, Inc",OH,17865,"214,581","33,921.10",15.81,2502
Butler Rural Electric Coop Inc - (OH),OH,10953,"172,727","27,515.00",15.93,2651
"Carroll Electric Coop, Inc - (OH)",OH,10831,"119,844","17,040.00",14.22,3076
City of Amherst- (OH),OH,5443,"55,291","6,069.00",10.98,560
City of Bowling Green - (OH),OH,12776,"95,049","13,012.00",13.69,2054
City of Bryan - (OH),OH,5065,"43,691","5,216.90",11.94,2439
City of Celina - (OH),OH,6818,"66,217","7,281.00",11.0,3216
City of Cleveland - (OH),OH,64917,"376,325","52,015.00",13.82,3762
City of Columbus - (OH),OH,10314,"66,917","7,992.30",11.94,4065
City of Cuyahoga Falls - (OH),OH,23286,"167,507","20,698.00",12.36,4683
City of Dover - (OH),OH,5817,"53,000","8,017.00",15.13,5336
City of Galion,OH,5368,"42,568","5,398.80",12.68,6914
City of Hamilton - (OH),OH,26783,"240,372","33,024.00",13.74,7977
City of Hudson - (OH),OH,5864,"71,295","9,585.30",13.44,8972
City of Jackson - (OH),OH,3365,"32,568","4,813.00",14.78,9598
City of Lebanon - (OH),OH,8210,"82,499","9,160.00",11.1,10830
City of Napoleon - (OH),OH,5127,"46,574","5,571.60",11.96,13209
City of Oberlin - (OH),OH,2746,"19,707","2,246.00",11.4,13949
City of Orrville - (OH),OH,6465,"72,061","7,857.00",10.9,14194
City of Painesville,OH,10483,"81,008","10,471.70",12.93,14381
City of Piqua - (OH),OH,9594,"83,713","9,855.00",11.77,15095
City of Shelby - (OH),OH,4826,"42,283","5,458.90",12.91,17043
City of St Marys - (OH),OH,3641,"33,766","4,183.30",12.39,17891
City of Tipp City - (OH),OH,4454,"44,459","5,271.00",11.86,18941
City of Wadsworth - (OH),OH,11895,"107,452","13,481.00",12.55,19951
City of Wapakoneta - (OH),OH,4777,"46,367","4,916.00",10.6,20077
City of Westerville - (OH),OH,14985,"160,212","18,387.00",11.48,20477
Cleveland Electric Illum Co,OH,190465,"1,344,225","170,772.10",12.7,3755
Clyde Light & Power,OH,2689,"23,426","2,788.00",11.9,3824
Consolidated Electric Coop Inc,OH,15034,"227,520","28,980.00",12.74,12990
"Darke Rural Electric Coop, Inc",OH,4903,"83,351","10,862.80",13.03,4796
Dayton Power & Light Co,OH,243696,"2,583,249","291,347.00",11.28,4922
Duke Energy Ohio Inc,OH,298767,"3,193,397","370,684.40",11.61,3542
"Firelands Electric Coop, Inc",OH,8559,"117,537","15,603.00",13.27,6335
Frontier Power Company,OH,8141,"93,170","12,868.00",13.81,6804
Guernsey-Muskingum El Coop Inc,OH,14886,"161,777","23,324.00",14.42,7891
Hancock-Wood Electric Coop Inc,OH,11191,"147,105","20,729.20",14.09,8034
Holmes-Wayne Electric Coop Inc,OH,14204,"175,928","23,358.70",13.28,8761
Licking Rural Electric Inc,OH,23946,"298,990","43,395.00",14.51,10668
Logan County Coop Power & Light,OH,4309,"59,114","9,065.40",15.34,11203
"Lorain-Medina R E C, Inc",OH,14759,"203,860","26,986.00",13.24,11200
"Mid-Ohio Energy Coop, Inc",OH,7057,"107,220","14,249.10",13.29,36189
"Midwest Electric, Inc",OH,10449,"166,513","20,954.50",12.58,12515
Midwest Energy Cooperative,OH,878,"10,934","1,481.50",13.55,12377
"North Central Elec Coop, Inc",OH,8434,"119,047","15,579.00",13.09,13693
"North Western Elec Coop, Inc",OH,5333,"76,309","9,907.00",12.98,13704
Ohio Edison Co,OH,315673,"3,077,223","377,582.20",12.27,13998
Ohio Power Co,OH,860103,"8,979,705","1,149,422.00",12.8,14006
"Paulding-Putman Elec Coop, Inc",OH,9034,"140,128","17,209.40",12.28,14599
"Pioneer Rural Elec Coop, Inc - (OH)",OH,15676,"237,887","34,345.00",14.44,15054
South Central Power Company,OH,109881,"1,397,972","173,149.60",12.39,18085
The Toledo Edison Co,OH,91969,"828,145","106,165.20",12.82,18997
"Union Rural Electric Coop, Inc",OH,9507,"131,487","18,496.90",14.07,19501
Village of Minster - (OH),OH,1257,"13,910","1,706.00",12.26,12660
Village of Yellow Springs - (OH),OH,1924,"13,600","1,334.20",9.81,21101
Washington Electric Coop - (OH),OH,8225,"84,827","13,290.40",15.67,20150
"Alfalfa Electric Coop, Inc",OK,2737,"47,574","4,624.00",9.72,296
Arkansas Valley Elec Coop Corp,OK,4111,"53,468","5,897.00",11.03,817
CKenergy Electric Cooperative,OK,21137,"235,368","30,730.00",13.06,60482
"Canadian Valley Elec Coop, Inc",OK,22188,"320,097","33,217.10",10.38,2911
"Central Rural Electric Cooperative, Inc",OK,17270,"292,007","28,104.00",9.62,3226
Choctaw Electric Coop Inc,OK,18637,"233,211","30,475.20",13.07,3527
Cimarron Electric Coop,OK,13587,"151,147","17,555.00",11.61,3478
City of Altus - (OK),OK,7571,"86,753","12,512.10",14.42,416
City of Claremore,OK,10556,"112,265","14,670.00",13.07,3647
City of Cushing - (OK),OK,3586,"36,727","3,687.00",10.04,4667
City of Duncan - (OK),OK,7326,"81,686","9,250.60",11.32,5429
City of Edmond - (OK),OK,35095,"480,555","55,141.00",11.47,5661
City of Mangum - (OK),OK,1412,"12,798","1,735.80",13.56,11566
City of Miami - (OK),OK,5594,"55,619","5,266.00",9.47,12408
City of Pawhuska - (OK),OK,1676,"16,655","1,571.00",9.43,14582
City of Ponca City - (OK),OK,13852,"148,168","17,599.00",11.88,15202
City of Pryor - (OK),OK,3839,"41,068","3,651.00",8.89,15462
City of Sallisaw - (OK),OK,3507,"44,948","4,668.00",10.39,16561
City of Stilwell - (OK),OK,1539,"12,995","1,289.00",9.92,18126
"Cookson Hills Elec Coop, Inc",OK,16450,"215,873","25,413.00",11.77,4296
"Cotton Electric Coop, Inc",OK,18315,"264,541","30,286.00",11.45,4401
East Central Oklahoma Elec Coop Inc,OK,29692,"375,491","43,555.00",11.6,5598
Empire District Electric Co,OK,3762,"47,210","4,641.70",9.83,5860
"Indian Electric Coop, Inc",OK,14082,"208,293","22,231.90",10.67,9246
Kay Electric Coop,OK,4278,"48,319","6,153.00",12.73,10012
"Kiamichi Electric Coop, Inc",OK,18829,"224,185","26,296.00",11.73,10170
"Lake Region Electric Coop, Inc - (OK)",OK,22902,"295,186","31,655.00",10.72,10599
"Northeast Oklahoma Electric Coop, Inc",OK,35487,"439,524","52,518.00",11.95,13734
"Northfork Electric Coop, Inc",OK,5301,"58,067","8,395.60",14.46,13838
Northwestern Electric Coop Inc - (OK),OK,9576,"95,796","13,530.00",14.12,13807
Oklahoma Electric Coop Inc,OK,50393,"725,125","83,726.00",11.55,14062
Oklahoma Gas & Electric Co,OK,660803,"8,145,023","824,042.00",10.12,14063
Ozarks Electric Coop Corp - (AR),OK,11203,"129,127","14,485.00",11.22,14289
People's Electric Cooperative,OK,13791,"211,832","24,725.50",11.67,14775
Prague Public Works Authority,OK,1091,"12,439","1,451.80",11.67,15311
Public Service Co of Oklahoma,OK,472622,"5,943,163","601,403.70",10.12,15474
Red River Valley Rrl Elec Assn,OK,14295,"169,578","18,465.00",10.89,15746
"Rich Mountain Elec Coop, Inc",OK,475,"5,236",459,8.77,15811
"Rural Electric Coop, Inc",OK,8505,"110,526","12,025.00",10.88,16382
Southeastern Electric Coop Inc - (OK),OK,14019,"179,153","20,123.70",11.23,17603
Southwest Arkansas E C C,OK,215,"2,567",265.7,10.35,17671
Southwest Rural Elec Assn Inc,OK,3594,"37,130","4,671.20",12.58,17681
Southwestern Electric Coop Inc - (NM),OK,2,30,5.8,19.33,17715
Stillwater Utilities Authority,OK,18558,"191,973","21,757.00",11.33,18125
Tahlequah Public Works Authority,OK,9853,"63,425","5,997.00",9.46,18433
"Tri-County Electric Coop, Inc",OK,11918,"128,045","17,525.80",13.69,19160
Verdigris Valley Elec Coop Inc,OK,31964,"500,214","54,301.90",10.86,19785
Wagoner Public Works Authority,OK,3285,"34,575","3,855.00",11.15,20163
Blachly-Lane County Coop El Assn,OR,3239,"54,508","6,698.00",12.29,1736
Canby Utility Board,OR,6524,"81,884","6,423.60",7.84,2955
Central Electric Coop Inc - (OR),OR,29430,"522,732","45,122.00",8.63,3240
Central Lincoln People's Ut Dt,OR,33552,"455,723","42,476.00",9.32,3264
City of Ashland - (OR),OR,10386,"92,940","8,112.80",8.73,907
City of Bandon - (OR),OR,2970,"35,667","3,034.00",8.51,1176
City of Eugene - (OR),OR,83081,"986,093","110,495.70",11.21,6022
City of Forest Grove,OR,8798,"123,076","9,584.00",7.79,6582
City of Hermiston,OR,4517,"55,052","4,491.20",8.16,8515
City of McMinnville - (OR),OR,13729,"209,705","13,118.00",6.26,12187
City of Milton-Freewater- (OR),OR,3543,"62,102","4,334.00",6.98,12615
City of Monmouth - (OR),OR,4216,"47,088","3,762.60",7.99,12789
City of Springfield - (OR),OR,28190,"390,595","25,662.00",6.57,17839
Clatskanie Peoples Util Dist,OR,4204,"76,600","4,742.70",6.19,28541
Clearwater Power Company,OR,146,"1,567",179.4,11.45,3739
"Columbia Basin Elec Cooperative, Inc",OR,3108,"42,385","4,373.90",10.32,4005
Columbia Power Coop Assn Inc,OR,1397,"14,936","1,703.00",11.4,4008
Columbia River Peoples Ut Dist,OR,16583,"228,341","17,512.80",7.67,40438
"Columbia Rural Elec Assn, Inc",OR,44,941,104.6,11.12,4041
"Consumers Power, Inc",OR,20136,"286,322","27,845.40",9.73,4743
"Coos-Curry Electric Coop, Inc",OR,15212,"187,383","21,116.10",11.27,4317
Douglas Electric Coop - (OR),OR,9174,"130,051","13,134.00",10.1,5327
Emerald People's Utility Dist,OR,18727,"300,348","30,059.80",10.01,40437
"Harney Electric Coop, Inc",OR,905,"19,993","1,635.20",8.18,11589
Hood River Electric Coop,OR,3375,"58,023","4,626.00",7.97,8830
Idaho Power Co,OR,13423,"193,127","19,292.60",9.99,9191
Lane Electric Coop Inc,OR,11766,"201,260","21,806.20",10.83,10681
"Midstate Electric Coop, Inc",OR,16939,"271,778","23,892.00",8.79,12439
Northern Wasco County PUD,OR,9377,"153,625","10,305.00",6.71,13788
"Oregon Trail El Cons Coop, Inc",OR,25454,"307,880","28,648.00",9.3,14109
PacifiCorp,OR,503632,"5,804,346","647,503.30",11.16,14354
Portland General Electric Co,OR,762211,"7,879,585","900,151.80",11.42,15248
Salem Electric - (OR),OR,17322,"193,808","17,976.00",9.28,16555
Surprise Valley Electrification,OR,1162,"17,209","1,476.20",8.58,18260
Tillamook Peoples Utility Dist,OR,18816,"247,698","22,851.10",9.23,18917
Umatilla Electric Coop Assn,OR,11424,"181,754","15,515.50",8.54,19325
"Wasco Electric Coop, Inc",OR,3792,"55,855","6,106.00",10.93,20138
Adams Electric Cooperative Inc,PA,30628,"419,867","51,092.00",12.17,40220
"Bedford Rural Elec Coop, Inc",PA,8610,"95,516","11,717.00",12.27,40221
Borough of Chambersburg,PA,9435,"90,071","9,147.00",10.16,3329
Borough of Ephrata - (PA),PA,5820,"62,621","8,257.10",13.19,5935
Borough of Lansdale,PA,7040,"47,165","8,923.00",18.92,10702
Borough of Quakertown - (PA),PA,4553,"33,344","4,225.00",12.67,15541
"Central Electric Coop, Inc - (PA)",PA,23316,"212,358","29,136.00",13.72,40224
Citizens Electric Co - (PA),PA,5827,"81,405","8,654.10",10.63,3597
Claverack Rural Elec Coop Inc,PA,17206,"168,845","22,754.00",13.48,40289
Duquesne Light Co,PA,372644,"2,621,428","421,255.20",16.07,5487
Metropolitan Edison Co,PA,326395,"3,435,821","465,761.50",13.56,12390
"Northwestern Rural E C A, Inc - (PA)",PA,18122,"190,487","25,731.00",13.51,40293
PECO Energy Co,PA,966644,"8,275,184","1,158,709.60",14.0,14940
PPL Electric Utilities Corp,PA,707518,"7,195,984","969,553.60",13.47,14715
Pennsylvania Electric Co,PA,346927,"2,811,586","433,146.70",15.41,14711
Pennsylvania Power Co,PA,104396,"1,143,794","148,739.50",13.0,14716
Pike County Light & Power Co,PA,2132,"27,621","4,788.30",17.34,15045
REA Energy Coop Inc,PA,20784,"228,540","27,557.00",12.06,40292
"Somerset Rural Elec Coop, Inc",PA,12341,"124,886","13,741.00",11.0,40167
Tri-County Rural Elec Coop Inc,PA,17905,"117,826","18,485.00",15.69,40290
"UGI Utilities, Inc",PA,55036,"521,562","55,606.80",10.66,19390
"United Electric Coop, Inc - (PA)",PA,16490,"116,078","18,549.00",15.98,40219
Valley Rural Electric Coop Inc,PA,20386,"213,290","27,483.00",12.89,40222
Wellsborough Electric Co,PA,5112,"42,658","5,980.00",14.02,20334
West Penn Power Co,PA,452529,"4,892,641","567,830.20",11.61,20387
Block Island Power Co,RI,1336,"4,075","1,489.10",36.54,1857
Pascoag Utility District,RI,4151,"31,798","4,993.30",15.7,14537
The Narragansett Electric Co,RI,377572,"2,631,619","473,499.90",17.99,13214
Aiken Electric Coop Inc,SC,44525,"582,815","81,884.00",14.05,162
Berkeley Electric Coop Inc,SC,85472,"1,251,505","164,917.00",13.18,1613
"Black River Electric Coop, Inc - (SC)",SC,28085,"437,750","52,048.50",11.89,1763
Blue Ridge Electric Coop Inc - (SC),SC,62786,"719,403","113,200.80",15.74,1890
"Broad River Electric Coop, Inc",SC,19975,"253,436","37,267.00",14.7,2212
City of Bennettsville - (SC),SC,4013,"44,211","5,720.00",12.94,1566
City of Camden,SC,9542,"103,071","12,861.00",12.48,2890
City of Gaffney - (SC),SC,6074,"69,281","7,723.00",11.15,6894
City of Georgetown - (SC),SC,3880,"48,940","4,285.00",8.76,7128
City of Laurens - (SC),SC,4448,"44,595","6,215.00",13.94,21526
City of Newberry - (SC),SC,4070,"43,988","6,550.20",14.89,13523
City of Orangeburg - (SC),SC,20271,"266,709","26,436.00",9.91,14164
City of Rock Hill - (SC),SC,32763,"357,586","46,144.00",12.9,16195
City of Seneca - (SC),SC,7196,"59,072","7,156.30",12.11,16921
City of Union - (SC),SC,5739,"70,021","9,586.60",13.69,19431
Clinton Combined Utility Sys,SC,3410,"32,620","5,449.00",16.7,3804
"Coastal Electric Coop, Inc",SC,10503,"135,009","22,398.40",16.59,3844
"Duke Energy Carolinas, LLC",SC,487693,"6,280,468","664,274.40",10.58,5416
Duke Energy Progress - (NC),SC,136342,"2,053,820","229,948.60",11.2,3046
Easley Combined Utility System,SC,12378,"151,927","19,395.00",12.77,6709
"Edisto Electric Coop, Inc",SC,14937,"219,496","32,348.40",14.74,5644
"Fairfield Electric Coop, Inc",SC,27068,"371,358","51,793.00",13.95,5929
Greenwood CPW,SC,11051,"109,045","9,895.00",9.07,7646
Greer Commission of Public Wks,SC,15797,"178,757","22,524.00",12.6,7654
Haywood Electric Member Corp,SC,10,47,8,17.02,8333
Horry Electric Coop Inc,SC,68177,"903,342","128,319.00",14.2,8786
"Laurens Electric Coop, Inc",SC,51592,"674,449","87,671.00",13.0,10768
Little River Electric Coop Inc,SC,11892,"142,659","20,845.30",14.61,11019
Lockhart Power Co,SC,4925,"61,916","8,166.90",13.19,11118
"Lynches River Elec Coop, Inc",SC,19935,"243,398","35,821.00",14.72,11355
"Marlboro Electric Coop, Inc",SC,5297,"78,780","10,769.00",13.67,11693
Mid-Carolina Electric Coop Inc,SC,50451,"699,475","92,304.90",13.2,12462
"Newberry Electric Coop, Inc",SC,12185,"154,615","21,061.00",13.62,13524
Palmetto Electric Coop Inc,SC,60760,"879,918","105,999.00",12.05,14398
"Pee Dee Electric Coop, Inc",SC,28735,"411,387","56,352.00",13.7,14557
"Santee Electric Coop, Inc",SC,33105,"515,983","72,805.30",14.11,16606
South Carolina Electric&Gas Company,SC,615096,"7,781,917","1,177,050.00",15.13,17539
South Carolina Public Service Authority,SC,151044,"1,746,152","209,231.30",11.98,17543
"Tri-County Electric Coop, Inc",SC,17225,"221,942","34,783.00",15.67,14175
York Electric Coop Inc,SC,52788,"670,015","81,189.00",12.12,21002
"Black Hills Electric Coop, Inc",SD,8572,"108,911","15,795.10",14.5,1769
"Black Hills Power, Inc. d/b/a",SD,56430,"507,438","70,317.20",13.86,19545
"Bon Homme Yankton El Assn, Inc",SD,3253,"55,267","6,356.70",11.5,1898
"Butte Electric Coop, Inc",SD,5082,"60,616","8,619.30",14.22,2655
"Cam Wal Electric Coop, Inc",SD,2149,"34,671","4,493.10",12.96,2986
