entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
Carroll Electric Member Corp - (GA),GA,47873,"642,477","77,588.00",12.08,3081
Central Georgia El Member Corp,GA,50839,"753,012","73,653.00",9.78,3248
City of Acworth - (GA),GA,5930,"59,403","8,459.90",14.24,308
City of Adel- (GA),GA,2041,"25,660","3,659.00",14.26,123
City of Buford,GA,2528,"30,275","3,531.40",11.66,2487
City of Cairo - (GA),GA,3762,"44,302","5,622.30",12.69,2773
City of Calhoun - (GA),GA,4168,"44,374","4,963.30",11.19,2812
City of Camilla,GA,1973,"23,789","2,946.60",12.39,2910
City of Cartersville - (GA),GA,6124,"76,259","8,438.00",11.06,3108
City of Chattanooga - (TN),GA,9547,"134,790","14,644.00",10.86,3408
City of Chickamauga,GA,821,"10,471","1,122.00",10.72,3475
City of College Park - (GA),GA,6697,"62,674","6,966.10",11.11,3939
City of Covington - (GA),GA,9914,"129,363","13,153.00",10.17,4433
City of Douglas,GA,3964,"59,374","5,924.00",9.98,5325
City of East Point - (GA),GA,14315,"146,563","20,177.60",13.77,5582
City of Elberton,GA,3354,"37,113","4,576.80",12.33,5730
City of Griffin,GA,12755,"143,473","14,624.00",10.19,7679
City of La Grange - (GA),GA,11276,"125,850","13,561.00",10.78,10585
City of Lawrenceville - (GA),GA,9566,"100,564","11,789.00",11.72,10800
City of Marietta - (GA),GA,35127,"330,657","38,975.00",11.79,11646
City of Monroe - (GA),GA,5404,"67,191","8,075.00",12.02,12800
City of Moultrie - (GA),GA,5689,"74,486","9,650.40",12.96,13026
City of Norcross- (GA),GA,4267,"50,785","5,766.00",11.35,13646
City of Sylvania - (GA),GA,2058,"20,290","2,658.00",13.1,18397
City of Thomaston - (GA),GA,5255,"42,151","4,701.80",11.15,18847
City of Thomasville - (GA),GA,13098,"174,073","21,196.00",12.18,18848
City of Washington - (GA),GA,2057,"21,502","2,868.00",13.34,20140
Coastal Electric Member Corp,GA,16174,"237,054","33,327.00",14.06,3843
Cobb Electric Membership Corp,GA,184095,"2,424,325","281,638.50",11.62,3916
Colquitt Electric Membership Corp,GA,59827,"829,766","88,179.20",10.63,40212
Coweta-Fayette El Member Corp,GA,73281,"1,050,168","114,740.40",10.93,4432
Crisp County Power Comm,GA,9147,"141,071","15,703.70",11.13,4538
Dalton Utilities,GA,12432,"147,890","13,902.00",9.4,4744
Diverse Power Incorporated,GA,29248,"419,188","56,398.60",13.45,19219
Excelsior Electric Member Corp,GA,21102,"300,791","31,043.50",10.32,5905
Fitzgerald Wtr Lgt & Bond Comm,GA,5074,"72,702","9,460.00",13.01,6380
Flint Electric Membership Corp,GA,73923,"1,078,386","138,538.10",12.85,6411
Fort Valley Utility Comm,GA,3933,"42,575","4,233.60",9.94,6617
Georgia Power Co,GA,2173557,"26,143,932","3,235,638.20",12.38,7140
Grady Electric Membership Corp,GA,18594,"235,483","33,117.00",14.06,7450
GreyStone Power Corporation,GA,118255,"1,636,365","163,093.00",9.97,7090
Habersham Electric Membership Corp,GA,32019,"389,221","51,356.00",13.19,7887
Hart Electric Member Corp,GA,28147,"355,448","46,029.00",12.95,8210
Haywood Electric Member Corp,GA,388,"2,972",466,15.68,8333
Irwin Electric Membership Corp,GA,10619,"129,568","18,694.50",14.43,9431
Jackson Electric Member Corp - (GA),GA,202989,"2,883,533","300,601.00",10.42,9601
Jefferson Electric Member Corp,GA,31918,"412,559","52,796.00",12.8,9689
Little Ocmulgee El Member Corp,GA,10795,"122,183","16,251.00",13.3,26218
Middle Georgia El Member Corp,GA,5169,"71,249","9,291.00",13.04,12472
Mitchell Electric Member Corp,GA,21139,"283,533","40,066.50",14.13,12706
"Newnan Wtr, Sewer & Light Comm",GA,8245,"85,447","10,449.00",12.23,13547
North Georgia Elec Member Corp,GA,84967,"1,329,205","143,551.00",10.8,13716
Ocmulgee Electric Member Corp,GA,10893,"122,811","15,392.00",12.53,13934
